Price,Close,High,Low,Open,Volume,Stock
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS
Date,,,,,,ADANIPORTS
2023-07-03,722.7692260742188,732.6198114535063,718.1624670927356,729.7283306165212,2808490,ADANIPORTS
2023-07-04,726.9839477539062,736.0994145579008,720.4168704394901,725.3666614620319,3263045,ADANIPORTS
2023-07-05,728.0130615234375,732.0807451034827,719.4856666770798,726.2977833576132,2212779,ADANIPORTS
2023-07-06,725.3666381835938,731.1006040873683,723.5533680077572,727.6700476715592,1949877,ADANIPORTS
2023-07-07,704.4403686523438,725.3177458588535,701.9899708622801,725.2687498678852,4248724,ADANIPORTS
2023-07-10,705.8125,715.5160984150184,693.9525995586754,707.674826103621,5135483,ADANIPORTS
2023-07-11,715.4180908203125,717.9174843501665,704.7833295856836,709.586132701214,2716491,ADANIPORTS
2023-07-12,709.8311157226562,717.9174269709331,707.6747540916183,717.3292957129296,1349350,ADANIPORTS
2023-07-13,702.9700317382812,714.7809354709822,700.8136700195437,710.5662638259057,1378288,ADANIPORTS
2023-07-14,711.6934204101562,713.0166709443129,700.5196437919471,704.3912837765312,2043145,ADANIPORTS
2023-07-17,716.5452270507812,728.0620953339813,715.6140640332654,715.7121158280427,2683898,ADANIPORTS
2023-07-18,713.7027587890625,732.6688104201086,711.2033056232892,716.4961878489623,4464508,ADANIPORTS
2023-07-19,716.8883056640625,720.8579375890648,714.535900170054,717.3783851566346,1039827,ADANIPORTS
2023-07-20,717.9174194335938,721.3479756847245,713.6536921984107,718.8975783624883,1423489,ADANIPORTS
2023-07-21,713.996826171875,720.7598872888827,711.8894604197877,714.3398578877232,1491198,ADANIPORTS
2023-07-24,720.7108764648438,725.5626753162884,713.9968114706066,715.516045904614,1919024,ADANIPORTS
2023-07-25,734.3841552734375,737.0795926134467,718.603618776138,723.0143344234259,3210148,ADANIPORTS
2023-07-26,737.7166748046875,750.2137017078385,730.2184347331345,738.0107105316952,5868377,ADANIPORTS
2023-07-27,733.89404296875,743.7936248273802,727.1799778241746,738.9418856914533,2243079,ADANIPORTS
2023-07-28,745.6857299804688,750.7181224063677,733.2526648040626,740.0612524168331,3257195,ADANIPORTS
2023-07-31,767.5421752929688,769.663708323113,744.4029748071466,748.5966552691636,5854918,ADANIPORTS
2023-08-01,755.207763671875,770.6503981739614,751.5074576627171,768.6275762675554,2590545,ADANIPORTS
2023-08-02,751.3594970703125,763.6445253196139,741.5906649139196,756.835938031663,3017482,ADANIPORTS
2023-08-03,763.1017456054688,769.1702715174681,743.4161659266601,751.3594774037994,4135776,ADANIPORTS
2023-08-04,764.9766235351562,769.5650272444443,758.5627595519527,766.1607335465535,2758619,ADANIPORTS
2023-08-07,780.91259765625,784.119529503721,760.9802707436247,766.7527239785388,4175164,ADANIPORTS
